run_id,timestamp,profile,algorithm,backend,backend_phase,backend_scope,num_control,num_target,a,N,opt_level,resilience_level,dd_enable,shots,rep_idx,run_hardware,depth_2q,count_2q,total_depth,ideal_success_prob,epsilon,skip_reason,noisy_success_prob,tvd_noisy_vs_ideal,zne_mode,zne_success_estimate,zne_fit_slope,zne_scales,zne_success_by_scale,hw_success_prob,tvd_hw_vs_ideal,tvd_hw_vs_noisy,job_id
run-00001,2026-04-04T16:37:55.987917Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,False,512,1,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.515625,0.484375,0.445312,d78jsqik86tc739vc2g0
run-00002,2026-04-04T16:38:09.524392Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,False,512,2,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.466797,0.533203,0.494141,d78jst9q1efs73d1r8cg
run-00003,2026-04-04T16:38:20.851470Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,False,512,3,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.439453,0.560547,0.521484,d78jt03c6das739hvbtg
run-00004,2026-04-04T16:38:31.478547Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,True,512,1,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.666016,0.333984,0.294922,d78jt2geecps73d790l0
run-00005,2026-04-04T16:38:45.670183Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,True,512,2,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.658203,0.341797,0.302734,d78jt6bc6das739hvc80
run-00006,2026-04-04T16:39:00.928925Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,0,True,512,3,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.660156,0.339844,0.300781,d78jta2k86tc739vc3fg
run-00007,2026-04-04T16:39:16.070173Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,False,512,1,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.576172,0.423828,0.384766,d78jtdpq1efs73d1r97g
run-00008,2026-04-04T16:39:27.235353Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,False,512,2,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.445312,0.554688,0.515625,d78jtggeecps73d79170
run-00009,2026-04-04T16:39:38.104047Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,False,512,3,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.457031,0.542969,0.503906,d78jtjak86tc739vc3q0
run-00010,2026-04-04T16:39:49.618812Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,True,512,1,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.638672,0.361328,0.322266,d78jtmak86tc739vc3ug
run-00011,2026-04-04T16:40:05.087013Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,True,512,2,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.654297,0.345703,0.306641,d78jtq1q1efs73d1r9p0
run-00012,2026-04-04T16:40:19.884994Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,0,1,True,512,3,True,218,249,1018,1.0,0.03125,,0.960938,0.039062,off,,,,,0.625,0.375,0.335938,d78jttqk86tc739vc48g
run-00013,2026-04-04T16:40:34.811880Z,AGGRESSIVE_FULL,shor,ibm_marrakesh,primary,primary_full,4,4,2,15,1,0,False,512,1,True,188,198,668,1.0,0.03125,,0.960938,0.039062,off,,,,,0.814453,0.185547,0.146484,d78ju1geecps73d791pg
